Nome Popular;Nome Científico;Estrato Agroflorestal;Ciclo de Vida;Duração;Tempo de Colheita (Aprox.);Sequência (Papel);Parceiras (do Dataset);Partes Utilizadas;Principais Usos Culinários e Tradicionais;Destaques Nutricionais / Compostos;Status de Conservação (IUCN/ICMBio);Informações de Plantio, Cultivo e Safra
Cupuí;Theobroma subincanum;Médio/Alto (Árvore);Perene;Perene;Ano 3-4 (frutos);Secundária/Clímax;Cupuaçu, Açaí, Taioba (mesmo sistema do Cupuaçu);Polpa, Semente;Similar ao Cupuaçu (ex: 'cupuílate'). [39, 1];Parente do cacau e cupuaçu. [39, 1];NE (Não Avaliado);Informação não disponível.
Bacuri;Platonia insignis;Alto (Árvore);Perene (Longo Prazo);Perene (longo);Ano 5-10 (frutos);Clímax;Castanha-do-pará, Uxi, Açaí (árvores de dossel);Polpa (fruto);Consumo in natura, sucos, sorvetes, doces.;Polpa rica em Fibras (5,2g/100g). [40, 1];DD (Dados Insuficientes) [41, 42, 43, 1];Informação não disponível.
Uxi;Endopleura uchi;Alto (Árvore);Perene (Longo Prazo);Perene (longo);Ano 6-10 (frutos);Clímax;Castanha-do-pará, Bacuri, Puxuri (árvores de dossel);Polpa (fruto);Consumo in natura (polpa); Também medicinal (anti-inflamatório).;Comumente vendido em feiras; Duplo potencial (alimentício e medicinal). [44, 45, 1];NE (Não Avaliado);Plantio deve ser feito em áreas não sujeitas a inundação. Espaçamento recomendado de 10x8m ou 10x10m. [7, 46]
Abiu;Pouteria caimito;Médio (Árvore);Perene;Perene;Ano 2-4 (frutos);Secundária;Cupuaçu, Taioba, Mandioca (na fase inicial);Polpa (fruto);Consumo in natura (polpa doce e translúcida). [30, 1];Fonte de fibras e vitaminas; Comum em quintais. [30, 1];NE (Não Avaliado);Informação não disponível.
Ameixa / Jacaiacá;Antrocaryon amazonicum;Alto (Árvore);Perene;Perene;Ano 4-6 (frutos);Secundária/Clímax;Bacuri, Uxi, Apuruí / Puruí (árvores frutíferas amazônicas);Polpa (fruto);Polpa doce usada para refrescos. [19, 1];Valorizado localmente para refrescos. [19, 1];NE (Não Avaliado);Safra (frutificação) ocorre de outubro a novembro, ou em março. [19]
Apuruí / Puruí;Borojoa / Alibertia spp.;Médio (Arbusto/Árvore);Perene;Perene;Ano 3-5 (frutos);Secundária;Abiu, Ameixa / Jacaiacá, Cupuaçu (frutíferas de médio porte);Mesocarpo (polpa);Consumo fresco, sucos, sorvetes. [19, 1];Frutos grandes (6-15 cm) com polpa carnuda. [19, 1];NE (Não Avaliado);Informação não disponível.
Cajueiro;Anacardium occidentale;Médio (Árvore);Perene;Perene;Ano 2-3 (frutos);Pioneira/Secundária;Mandioca, Jambu (cobertura inicial);Pseudofruto (caju), Castanha;Pseudofruto para sucos; 'Vinho' (Acaiu-cauin). [47, 48, 1];Uso etnobotânico histórico. [48, 1];NE (Não Avaliado);Informação não disponível.
Castanha-de-anta;Pachira spp. / Joannesia spp.;Alto (Árvore);Perene;Perene;Ano 4-6 (frutos);Clímax;Castanha-do-pará, Uxi, Bacuri (árvores de dossel);Semente (amêndoa);Sementes cozidas. [49, 1];Sabor similar às castanhas europeias (após cozidas). [49, 1];NE (Não Avaliado);Informação não disponível.
Jambu;Acmella oleracea;Rasteiro;Curto (Anual);Anual;60-90 dias;Pioneira (Cobertura);Chicória-do-pará / Coentrão, Mandioca, Cará (no início do canteiro);Folhas, flores;Ingrediente essencial no tacacá e pato no tucupi; causa 'tremor' (dormência).;PANC famosa; Composto ativo: Espilantol. Rico em Fibra (4g) e Vitamina C (20g) por 100g. [50, 51, 52, 53, 1];NE (Não Avaliado);Exige clima quente e úmido. Germinação ocorre 4-8 dias após semeadura. Transplantio das mudas (com 4-6 folhas) para canteiros.
Chicória-do-pará / Coentrão;Eryngium foetidum;Rasteiro;Curto (Anual);Anual/Bienal;60-90 dias (folhas);Pioneira (Cobertura);Jambu, Mandioca, Taioba (bordadura de canteiro);Folhas;Condimento (similar ao coentro, mas mais forte), usado em peixes e molhos. [47, 54, 55, 56, 1];PANC (hortaliça). [55, 56, 1];NE (Não Avaliado);Informação não disponível.
Ora-pro-nóbis;Pereskia bleo / P. aculeata;Médio (Trepadeira);Perene;Perene;Contínua (folhas, após 6 meses);Secundária (Cerca Viva);Mandioca, Cará (fornecendo tutor/borda), Vinagreira;Folhas;Saladas, refogados. [11, 13, 57, 1, 58];PANC; Alto teor proteico. [13, 1, 58];NE (Não Avaliado);Informação não disponível.
Vinagreira;Hibiscus sabdariffa;Médio (Arbusto);Curto (Anual);Anual;3-4 meses (folhas/cálices);Pioneira/Secundária;Mandioca, Jambu, Chicória-do-pará / Coentrão (anuais de ciclo rápido/médio);Folhas / Cálices;Usos culinários diversos (PANC). [57, 1];PANC. [57, 1];NE (Não Avaliado);Informação não disponível.
Puxuri;Licaria puchury-major;Alto (Árvore);Perene;Perene (longo);Ano 8-12+;Clímax (sub-bosque);Castanha-do-pará, Bacuri, Açaí (cresce na sombra de árvores maiores);Semente (Amêndoa);Especiaria (ralada, substitui noz-moscada), chás medicinais. [59, 60, 61, 62, 63, 64, 65, 1];'Noz-moscada brasileira'. Aroma complexo (noz-moscada, anis, canela). Óleos essenciais (safrol, eugenol). [59, 60, 61, 1];NE (Não Avaliado) [60, 65, 1];Informação não disponível.
Cogumelos Comestíveis (Yanomâmi);Ex: Favolus brasiliensis, Polyporus aquosus, Lentinus crinitus;N/A (Fungo);N/A;N/A (Fungo);N/A (Sazonal);Decompositor;Mandioca (associado à decomposição de seus resíduos);Corpo de frutificação;Cozidos ou crus (depende da espécie); suplemento dietético. [66, 1];Conhecimento etnobotânico específico dos Yanomâmi. [66, 1];NE (Não Avaliado);Cultivo 'incidental' em roças de mandioca.
